,Unnamed: 0,POPESTIMATE2019,FIPS
0,0,4903185,1000.0
1,1,55869,1001.0
2,2,223234,1003.0
3,3,24686,1005.0
4,4,22394,1007.0
5,5,57826,1009.0
6,6,10101,1011.0
7,7,19448,1013.0
8,8,113605,1015.0
9,9,33254,1017.0
10,10,26196,1019.0
11,11,44428,1021.0
12,12,12589,1023.0
13,13,23622,1025.0
14,14,13235,1027.0
15,15,14910,1029.0
16,16,52342,1031.0
17,17,55241,1033.0
18,18,12067,1035.0
19,19,10663,1037.0
20,20,37049,1039.0
21,21,13772,1041.0
22,22,83768,1043.0
23,23,49172,1045.0
24,24,37196,1047.0
25,25,71513,1049.0
26,26,81209,1051.0
27,27,36633,1053.0
28,28,102268,1055.0
29,29,16302,1057.0
30,30,31362,1059.0
31,31,26271,1061.0
32,32,8111,1063.0
33,33,14651,1065.0
34,34,17205,1067.0
35,35,105882,1069.0
36,36,51626,1071.0
37,37,658573,1073.0
38,38,13805,1075.0
39,39,92729,1077.0
40,40,32924,1079.0
41,41,164542,1081.0
42,42,98915,1083.0
43,43,9726,1085.0
44,44,18068,1087.0
45,45,372909,1089.0
46,46,18863,1091.0
47,47,29709,1093.0
48,48,96774,1095.0
49,49,413210,1097.0
50,50,20733,1099.0
51,51,226486,1101.0
52,52,119679,1103.0
53,53,8923,1105.0
54,54,19930,1107.0
55,55,33114,1109.0
56,56,22722,1111.0
57,57,57961,1113.0
58,58,89512,1115.0
59,59,217702,1117.0
60,60,12427,1119.0
61,61,79978,1121.0
62,62,40367,1123.0
63,63,209355,1125.0
64,64,63521,1127.0
65,65,16326,1129.0
66,66,10373,1131.0
67,67,23629,1133.0
68,68,731545,2000.0
69,69,3337,2013.0
70,70,5634,2016.0
71,71,288000,2020.0
72,72,18386,2050.0
73,73,836,2060.0
74,74,2097,2068.0
75,75,4916,2070.0
76,76,96849,2090.0
77,77,2530,2100.0
78,78,2148,2105.0
79,79,31974,2110.0
80,80,58708,2122.0
81,81,13901,2130.0
82,82,12998,2150.0
83,83,8314,2158.0
84,84,1592,2164.0
85,85,108317,2170.0
86,86,10004,2180.0
87,87,9832,2185.0
88,88,7621,2188.0
89,89,3266,2195.0
90,90,6203,2198.0
91,91,8493,2220.0
92,92,1183,2230.0
93,93,6893,2240.0
94,94,9202,2261.0
95,95,2502,2275.0
96,96,579,2282.0
97,97,5230,2290.0
98,98,7278717,4000.0
99,99,71887,4001.0
100,100,125922,4003.0
101,101,143476,4005.0
102,102,54018,4007.0
103,103,38837,4009.0
104,104,9498,4011.0
105,105,21108,4012.0
106,106,4485414,4013.0
107,107,212181,4015.0
108,108,110924,4017.0
109,109,1047279,4019.0
110,110,462789,4021.0
111,111,46498,4023.0
112,112,235099,4025.0
113,113,213787,4027.0
114,114,3017804,5000.0
115,115,17486,5001.0
116,116,19657,5003.0
117,117,41932,5005.0
118,118,279141,5007.0
119,119,37432,5009.0
120,120,10763,5011.0
121,121,5189,5013.0
122,122,28380,5015.0
123,123,10118,5017.0
124,124,22320,5019.0
125,125,14551,5021.0
126,126,24919,5023.0
127,127,7956,5025.0
128,128,23457,5027.0
129,129,20846,5029.0
130,130,110332,5031.0
131,131,63257,5033.0
132,132,47955,5035.0
133,133,16419,5037.0
134,134,7009,5039.0
135,135,11361,5041.0
136,136,18219,5043.0
137,137,126007,5045.0
138,138,17715,5047.0
139,139,12477,5049.0
140,140,99386,5051.0
141,141,18265,5053.0
142,142,45325,5055.0
143,143,21532,5057.0
144,144,33771,5059.0
145,145,13202,5061.0
146,146,37825,5063.0
147,147,13629,5065.0
148,148,16719,5067.0
149,149,66824,5069.0
150,150,26578,5071.0
151,151,6624,5073.0
152,152,16406,5075.0
153,153,8857,5077.0
154,154,13024,5079.0
155,155,12259,5081.0
156,156,21466,5083.0
157,157,73309,5085.0
158,158,16576,5087.0
159,159,16694,5089.0
160,160,43257,5091.0
161,161,40651,5093.0
162,162,6701,5095.0
163,163,8986,5097.0
164,164,8252,5099.0
165,165,7753,5101.0
166,166,23382,5103.0
167,167,10455,5105.0
168,168,17782,5107.0
169,169,10718,5109.0
170,170,23528,5111.0
171,171,19964,5113.0
172,172,64072,5115.0
173,173,8062,5117.0
174,174,391911,5119.0
175,175,17958,5121.0
176,176,24994,5123.0
177,177,122437,5125.0
178,178,10281,5127.0
179,179,7881,5129.0
180,180,127827,5131.0
181,181,17007,5133.0
182,182,17442,5135.0
183,183,12506,5137.0
184,184,38682,5139.0
185,185,16545,5141.0
186,186,239187,5143.0
187,187,78753,5145.0
188,188,6320,5147.0
189,189,21341,5149.0
190,190,39512223,6000.0
