,POPESTIMATE2019,FIPS,beta,f,cost
1,55869,1001.0,4.9324978732810676e-06,0.04446995417079344,0.24565905019963136
2,223234,1003.0,1.147850711655767e-06,0.019076626784099673,0.17097098959882356
4,22394,1007.0,6.365119406003915e-06,6.782830167752218e-05,1.1676408658317672e-08
5,57826,1009.0,5.777032648909613e-07,0.002578061320193864,4.014245213312784e-06
6,10101,1011.0,7.4019729027065845e-06,3.163388081167673e-05,1.1528258027701387e-09
7,19448,1013.0,2.2005998438444488e-06,9.025570267843369e-05,5.737434470372758e-09
8,113605,1015.0,2.898930258022586e-06,0.005421603256188748,0.08111974008995981
9,33254,1017.0,1.0725987654607441e-05,0.025932483591125894,17.147068975693347
10,26196,1019.0,1.1774058322478282e-05,3.229964316735223e-05,6.295205336588559e-07
11,44428,1021.0,3.8205776806455685e-07,0.000712589029458699,2.378648118573323e-07
12,12589,1023.0,6.596640783400647e-06,0.0001745905933484282,4.097805354762204e-08
13,23622,1025.0,1.7512367416085167e-05,0.00872267644411686,0.027848915081825288
14,13235,1027.0,9.513728102422092e-06,0.00014399597390754582,7.620010719545244e-08
15,14910,1029.0,1.9602247078062982e-05,0.011333616773022786,0.033782572321861715
17,55241,1033.0,4.829035105205507e-06,0.0437146793276523,0.2010190150725311
18,12067,1035.0,2.708901935834614e-06,8.4029202002317e-05,2.701423720835775e-09
19,10663,1037.0,1.9611619448348622e-05,0.046485651985831156,0.12829604090397395
20,37049,1039.0,7.194880119166656e-06,0.030547829025988096,0.07749233070011785
21,13772,1041.0,2.302929188159464e-06,0.0005707054479497792,1.816432407704267e-07
22,83768,1043.0,2.6130982881467258e-06,0.02467040328180853,0.38585153684981877
23,49172,1045.0,3.643659162050581e-06,0.00011540687120549509,4.515492663024915e-08
24,37196,1047.0,8.361884037122457e-06,0.03335771090794938,0.1610227450856328
25,71513,1049.0,5.313325030909344e-06,0.012909245430544593,0.09077311476198215
26,81209,1051.0,2.5305934644649745e-06,0.012446876394720825,0.038153787059022025
27,36633,1053.0,3.7163554825181095e-06,0.0004965444960640525,8.687640153685128e-07
28,102268,1055.0,4.14885262170267e-06,0.023815454518152382,11.629660480749882
29,16302,1057.0,2.202522682768561e-06,0.00021902382653250785,2.218681747036886e-08
30,31362,1059.0,7.43399534921871e-06,0.017212205213566454,0.10016575408232757
32,8111,1063.0,7.436258818406446e-06,2.077540764407193e-05,3.572230304569541e-10
33,14651,1065.0,1.9742660520504067e-05,0.04090952506016411,0.0424995023311501
35,105882,1069.0,3.1746597979874693e-06,0.017747469879383377,0.702606507289008
36,51626,1071.0,5.059134097606224e-06,0.03873617696390724,0.7361002548091657
37,658573,1073.0,5.115250281327612e-07,0.02111455890052593,35.584228420471135
38,13805,1075.0,1.0679632008295522e-05,0.00018335391468936313,4.3221919736700825e-07
39,92729,1077.0,3.000028641111457e-06,0.043122690012100146,2.4070340074815904
40,32924,1079.0,1.5680235205790404e-06,6.803331153891479e-05,3.7889899430578645e-09
41,164542,1081.0,1.8104795200932068e-06,0.038897148686265454,6.660329864400411
42,98915,1083.0,6.122160331256233e-07,0.0012335994161706415,2.8253748820887972e-06
43,9726,1085.0,8.597610809952767e-06,8.698488007638505e-05,1.028275215619993e-08
44,18068,1087.0,1.9052315370460374e-05,0.04403424226237222,0.5043087933250474
45,372909,1089.0,6.867595394988311e-07,0.03693046260632242,1.3301246843448662
46,18863,1091.0,1.5087977953299785e-05,0.049835207102563686,0.16736444349507298
47,29709,1093.0,1.0627832808824522e-05,0.036434659628502335,2.2486109686462177
48,96774,1095.0,3.326571461921893e-06,0.04992483895742976,0.6793842240299465
49,413210,1097.0,8.945666731761113e-07,0.04065937497231131,29.845024823169965
50,20733,1099.0,1.3240915119100715e-05,0.049464749180567064,0.26403875822565714
51,226486,1101.0,1.0701173318165156e-06,0.01597303980740395,3.091874491575046
52,119679,1103.0,1.8516751959767318e-08,0.019642110672742893,0.0001516014803940514
54,19930,1107.0,1.1066252426510804e-05,1.3105730662169024e-05,7.486504641004842e-09
55,33114,1109.0,5.83502822654852e-07,0.0004386038533872594,9.334197476518865e-08
56,22722,1111.0,1.6111169993754823e-05,0.04508304401469871,3.397994383908119
57,57961,1113.0,1.05557415666536e-06,0.001764378496513383,3.018620165358789e-06
58,89512,1115.0,1.6679577394108458e-08,0.021482758314960926,0.00022042859976848403
59,217702,1117.0,1.201128544385176e-06,0.0494585537317936,5.549142835748933
60,12427,1119.0,1.1644457072535784e-05,4.5099154728334145e-05,5.372021252826584e-09
61,79978,1121.0,2.924819509546e-06,0.02097886604342728,0.04275970301016813
62,40367,1123.0,9.784377847444498e-06,0.02929134360885584,3.2294620322087497
63,209355,1125.0,7.554519732547773e-07,0.020227760659534428,0.036327251048495914
64,63521,1127.0,1.2574026938851058e-06,0.00035603799928027313,2.742874978340074e-07
65,16326,1129.0,1.323766688681607e-05,0.04828590363991185,0.2377337102705668
66,10373,1131.0,1.9857172053527316e-05,0.033847663697572514,0.043175680629170196
67,23629,1133.0,2.083829424951335e-06,0.0001007999606017565,7.021135187264799e-09
71,288000,2020.0,7.534358026240104e-07,0.0474263508020218,2.2822660048851673
76,96849,2090.0,2.5583682446617584e-06,0.027264976104866175,0.2709801851237208
79,31974,2110.0,3.1746688727345495e-06,0.00014558577433872177,5.532512818952144e-08
80,58708,2122.0,8.393593131787384e-07,0.048251874032790826,0.05553491953095544
81,13901,2130.0,9.570522157871996e-06,0.0001302439254001614,2.0416066883134803e-07
85,108317,2170.0,2.479911887256231e-06,0.02391079843150341,0.04371184616927075
99,71887,4001.0,4.012270250486481e-06,0.049909524643395264,1.3188821572126361
100,125922,4003.0,1.281674586848543e-07,0.001974049184948229,2.1100547276008476e-06
101,143476,4005.0,2.4608956287441826e-06,0.04972786403284586,61.25913759881968
102,54018,4007.0,1.6862115348660638e-07,5.3955939980282475e-05,1.0615611751270528e-09
103,38837,4009.0,5.800011300210901e-06,5.055495123396786e-05,2.254794919152838e-06
104,9498,4011.0,1.321490421992451e-05,0.00014369463552516004,3.850929588140556e-08
105,21108,4012.0,1.5202539740676555e-05,0.017596240396426946,0.04202955340166306
106,4485414,4013.0,1.6109464069733858e-08,0.008623628497083688,556.3390433128441
107,212181,4015.0,1.6029853676809464e-06,0.03855451730610347,0.6313512100273522
108,110924,4017.0,1.2147694582558694e-05,0.00011894708352777617,1.9343071653268022
109,1047279,4019.0,3.055322462099974e-07,0.027527758996748617,66.61652479432482
110,462789,4021.0,3.923243324037842e-07,0.03119051463985536,3.331736166757737
111,46498,4023.0,2.786897822788073e-06,0.00029102653747313523,7.177528948564055e-07
112,235099,4025.0,9.604078532891844e-07,0.03814617802000313,0.12768760870137516
113,213787,4027.0,9.807542100343113e-07,0.044999144161557675,0.04658895762597627
115,17486,5001.0,1.0768300034855485e-05,2.0455086938292455e-06,3.199998558291059e-11
116,19657,5003.0,1.1760469173564627e-05,3.6409494517483654e-05,2.648883320420594e-08
117,41932,5005.0,9.455503689253321e-07,0.0014923151216356956,1.3244435475288553e-06
118,279141,5007.0,2.3529569069839426e-08,0.0005709980222319277,1.6067189819742456e-07
119,37432,5009.0,7.200734115503981e-08,0.0043436050213143075,8.73197464917867e-06
120,10763,5011.0,1.9906309549880634e-05,0.011675936520796444,0.034267305302134246
122,28380,5015.0,8.452211822694357e-06,4.610475888582044e-05,2.1922548037930644e-08
123,10118,5017.0,9.464955171609546e-06,1.8376670809894247e-05,5.810075794822029e-10
124,22320,5019.0,4.690811546413147e-06,4.748950785894712e-05,9.290203096408198e-09
126,24919,5023.0,1.0127236752951433e-05,0.04997633492598502,3.880673359714779
127,7956,5025.0,8.399101025094918e-06,2.4349952062366342e-05,1.1148285425467262e-09
128,23457,5027.0,4.501862092325213e-06,0.00035146204012370674,3.203593403386814e-07
