,FIPS,POPESTIMATE2019,RBIRTH2019,RDEATH2019,PCTPOVALL_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,popdensity,pct_blk,pct_asian,pct_native,pct_white,beta,f
0,1073,658573,12.77995026,11.14262346,16.1,3.7,55013.0,110.2885,1466.5226225,0.420150012203123,0.0160182837157587,0.00205808919335968,0.531923413930334,3.582560815336164e-07,0.08817079635882591
1,1081,164542,11.12133529,6.9043687039999995,19.0,3.6,48937.0,98.1075,334.60974500000003,0.33632806098203005,0.0209810732335355,0.0016117890123820801,0.610030565431954,1.3537178161575044e-06,0.1174744619920811
2,1097,413210,13.16136271,11.06492665,20.8,4.7,43598.0,87.404,1117.4550481818198,0.37270814135863395,0.0408739752844933,0.00989584499508694,0.5552375092317651,6.400932924034894e-07,0.11327673537939915
3,4005,143476,10.58045658,6.300721331,15.9,5.5,60187.0,101.8755,16.5715651825,0.004234572926674,0.00861043826086035,0.38766517314825805,0.560239130274289,1.6607853590686315e-06,0.18326168509359134
4,4013,4485414,11.86388064,7.431071094,12.3,4.1,65234.0,110.4183,3454.24540775916,0.0522173430789061,0.0332287726441507,0.0261220075727961,0.780423026602164,0.4999949038350171,6.79627792012083e-06
5,4019,1047279,10.45285299,9.78869228,16.2,4.5,53395.0,90.379,1904.8242312903199,0.0305881484609421,0.0276387169886159,0.0567188426038413,0.771916002671077,2.1876390986935835e-07,0.12158288355885885
6,6001,1671329,11.16089015,6.557052921,9.0,3.0,101744.0,135.208,8356.67258,0.146820225490022,0.24999651022299,0.00704270609877847,0.440406743194395,1.2683716081008909e-07,0.060647820109613226
7,6013,1153526,10.47722592,7.359231265,7.8,3.2,101463.0,134.8346,2842.69445333333,0.0697659196706881,0.130718762216228,0.00396359538719236,0.6580436853669771,1.783213285419459e-07,0.046737384903924685
8,6037,10039107,11.23282723,6.778099332999999,14.2,4.7,67986.0,90.3468,9047.35010848025,0.0752112124797869,0.15521084863616902,0.0053718096038401,0.5567456548991719,1.8724318759329232e-08,0.062033354726524936
9,6059,3175692,11.46345092,6.775546254,10.5,2.9,89373.0,118.7681,6431.57858544828,0.0162926593842547,0.18677503260060999,0.004037254897549129,0.660276106766067,5.05979281056294e-08,0.019467934690588384
